Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,9.87375,1.920691375
HLB+,Ma-1,Mi-1,11.61857143,1.124580345
HLB-,Ma-1,Mi-2,8.2425,1.074134203
HLB+,Ma-1,Mi-2,9.89,1.154339638
HLB-,Ma-1,Mi-3,8.95625,1.704028315
HLB+,Ma-1,Mi-3,10.94571429,2.094165364
HLB-,Ma-2,Mi-1,9.363333333,2.554961187
HLB+,Ma-2,Mi-1,9.53,1.610918106
HLB-,Ma-2,Mi-2,10.27,2.425654551
HLB+,Ma-2,Mi-2,8.58,2.110930736
HLB-,Ma-2,Mi-3,13.12857143,1.944423038
HLB+,Ma-2,Mi-3,11.1025,2.479128591
HLB-,Ma-3,Mi-1,11.93714286,3.565322399
HLB+,Ma-3,Mi-1,9.73125,2.955481288
HLB-,Ma-3,Mi-2,10.09625,2.080088855
HLB+,Ma-3,Mi-2,11.31875,2.700822295
HLB-,Ma-3,Mi-3,9.6125,1.880279235
HLB+,Ma-3,Mi-3,10.59,2.562097355
