Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,65.99,5.074711814
HLB+,Ma-1,Mi-1,64.44625,3.342885569
HLB-,Ma-1,Mi-2,63.7675,1.630860859
HLB+,Ma-1,Mi-2,67.92625,4.396576387
HLB-,Ma-1,Mi-3,66.07125,4.932653408
HLB+,Ma-1,Mi-3,65.99625,4.508588431
HLB-,Ma-2,Mi-1,62.785,5.068399156
HLB+,Ma-2,Mi-1,65.59875,4.672048916
HLB-,Ma-2,Mi-2,63.8975,3.050057377
HLB+,Ma-2,Mi-2,65.195,3.878722175
HLB-,Ma-2,Mi-3,65.565,4.268084214
HLB+,Ma-2,Mi-3,65.2425,3.77690633
HLB-,Ma-3,Mi-1,66.37,4.154584387
HLB+,Ma-3,Mi-1,66.49875,2.631547277
HLB-,Ma-3,Mi-2,64.23625,2.951686866
HLB+,Ma-3,Mi-2,66.65,4.869259257
HLB-,Ma-3,Mi-3,63.34428571,3.599008461
HLB+,Ma-3,Mi-3,63.78833333,5.786637769
