Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,61.54125,1.852761934
HLB+,Ma-1,Mi-1,59.83714286,3.373681047
HLB-,Ma-1,Mi-2,60.75875,1.38818934
HLB+,Ma-1,Mi-2,59.00285714,2.93010645
HLB-,Ma-1,Mi-3,62.92571429,1.653167234
HLB+,Ma-1,Mi-3,60.14,3.692970156
HLB-,Ma-2,Mi-1,60.49875,2.201080498
HLB+,Ma-2,Mi-1,59.76625,4.32578296
HLB-,Ma-2,Mi-2,61.24625,2.809793777
HLB+,Ma-2,Mi-2,58.6375,3.391623084
HLB-,Ma-2,Mi-3,60.74375,2.310800341
HLB+,Ma-2,Mi-3,59.92,3.940007252
HLB-,Ma-3,Mi-1,61.4575,3.251051478
HLB+,Ma-3,Mi-1,56.74285714,3.543810164
HLB-,Ma-3,Mi-2,62.25,2.491488368
HLB+,Ma-3,Mi-2,58.6925,3.565219889
HLB-,Ma-3,Mi-3,60.7875,2.653341559
HLB+,Ma-3,Mi-3,59.114375,3.792749168
